name,domain,address,type,id.jisc,id.ukprn,id.isni,id.ringgold,id.gokb,id.ncsu-olnd-uri,id.viaf,id.freebase-uri,id.lccn,id.dbpedia-uri,id.dnb-uri,id.juliet,id.doi,funder_group,membership_org
Emerald,,,Publisher,,,,,4499,http://www.lib.ncsu.edu/ld/onld/00000024,268505481,http://rdf.freebase.com/ns/m/02z5kn7,nb2010028805,http://dbpedia.org/resource/Emerald_Group_Publishing,,,,,false
Emigre,,,Publisher,,,,,4505,http://www.lib.ncsu.edu/ld/onld/00001511,178157709,http://rdf.freebase.com/ns/m/01rn6d,nr2004022990,http://dbpedia.org/resource/Émigré,,,,,false
Emory University School of Law,,,Publisher,,,000000012151085X,,4511,http://www.lib.ncsu.edu/ld/onld/00000107,124912163,http://rdf.freebase.com/ns/m/0gbwz7,n80098110,http://dbpedia.org/resource/Emory_University_School_of_Law,,,,,false
"Encyclopaedia Britannica, Inc.",,,Publisher,,,0000000119578281,,4518,http://www.lib.ncsu.edu/ld/onld/00000602,152011302,http://rdf.freebase.com/ns/m/02ljv,n79127925,http://dbpedia.org/resource/Encyclopaedia_Britannica,,,,,false
Air & Waste Management Association,,,Publisher,,,0000000121823856,,452,http://www.lib.ncsu.edu/ld/onld/00000642,149562050,http://rdf.freebase.com/ns/m/06hf50p,no89020452,,,,,,false
Endocrine Society,,,Publisher,,,,,4525,http://www.lib.ncsu.edu/ld/onld/00000540,122482491,http://rdf.freebase.com/ns/m/0bnl2z,n80108746,http://dbpedia.org/resource/Endocrine_Society,,,,,false
Energy Intelligence Group,,,Publisher,,,0000000099610773,,4531,http://www.lib.ncsu.edu/ld/onld/00002122,147933449,,n99033223,,,,,,false
Enterprise Publishing Inc.,,,Publisher,,,,,4536,http://www.lib.ncsu.edu/ld/onld/00000425,,,,,,,,,false
Entomological Society of America,,,Publisher,,,,,4538,http://www.lib.ncsu.edu/ld/onld/00000433,261769422,http://rdf.freebase.com/ns/m/02dxf2,n79056347,http://dbpedia.org/resource/Entomological_Society_of_America,,,,,false
Entomological Society of Canada,,,Publisher,,,,,4544,http://www.lib.ncsu.edu/ld/onld/00000991,261086024,http://rdf.freebase.com/ns/m/0h4c9p,n50040607,http://dbpedia.org/resource/Entomological_Society_of_Canada,,,,,false
Environmental Health Information Service,,,Publisher,,,,,4550,http://www.lib.ncsu.edu/ld/onld/00001513,,,,,,,,,false
Environmental Systems Research Institute,,,Publisher,,,0000000406357596,,4552,http://www.lib.ncsu.edu/ld/onld/00001514,150806221,http://rdf.freebase.com/ns/m/011r1z,n83191197,http://dbpedia.org/resource/Esri,,,,,false
Equine Animations,,,Publisher,,,,,4559,http://www.lib.ncsu.edu/ld/onld/00000992,,,,,,,,,false
Equine Research Publications,,,Publisher,,,,,4561,http://www.lib.ncsu.edu/ld/onld/00001207,139543319,,n79086321,,,,,,false
Equinox Publishing Ltd.,,,Publisher,,,,,4565,http://www.lib.ncsu.edu/ld/onld/00001515,144461535,http://rdf.freebase.com/ns/m/01090n5s,n2005208574,http://dbpedia.org/resource/Equinox_Publishing_(London),,,,,false
Erasmus Institute,,,Publisher,,,,,4571,http://www.lib.ncsu.edu/ld/onld/00001479,150401156,,n00107961,,,,,,false
Érudit,,,Publisher,,,,,4575,http://www.lib.ncsu.edu/ld/onld/00001807,160503382,,no2005030162,,,,,,false
ESI Publications,,,Publisher,,,,,4579,http://www.lib.ncsu.edu/ld/onld/00001516,,,,,,,,,false
Air Force Historical Foundation,,,Publisher,,,0000000121524100,,458,http://www.lib.ncsu.edu/ld/onld/00000132,125982979,,n81033400,,,,,,false
Euromoney Institutional Investor PLC,,,Publisher,,,,,4581,http://www.lib.ncsu.edu/ld/onld/00000100,126993263,http://rdf.freebase.com/ns/m/0fhwjj,no99055135,http://dbpedia.org/resource/Euromoney_Institutional_Investor_PLC,,,,,false
